行业,correlation
45,0.18198036500148917
66,0.17209343613815414
62,0.15060866028595338
96,0.1394876830591294
24,0.1261264399445928
84,0.10864592751762606
87,0.09226333337830284
81,0.08554288908969054
39,0.0790965305409176
79,0.07871006462593544
30,0.07737050463334874
22,0.06692476979978146
65,0.06381127027737221
75,0.062275238079153826
98,0.05934028475303435
64,0.05310257473872919
70,0.05064901508458495
61,0.04701924288962662
37,0.030123100522165214
83,0.029057232998074115
68,0.025388259275564967
69,0.018468988495390134
10,0.008571067167901313
80,0.008091904582489136
18,0.006238190735619664
73,0.005524460991350316
55,0.004964750952839894
82,0.0016247678149846792
38,-0.004047435429499774
57,-0.009296023612944876
17,-0.011144693907597085
31,-0.012064686612587406
21,-0.017010163515045088
50,-0.02194174706146488
78,-0.022389863422314353
95,-0.03425098420552447
1,-0.034625475859098954
7,-0.04076102744706502
34,-0.04135844279602022
88,-0.04272867698470349
26,-0.04441095104404655
74,-0.0504289205013987
93,-0.053818392958521116
29,-0.057241749547443516
40,-0.06628916680610399
60,-0.07242270926658828
52,-0.0734213987400519
41,-0.08090811778092272
97,-0.09157698783546386
3,-0.09192873500525638
89,-0.09634369095764189
9,-0.09892877590479057
76,-0.0998022449419769
92,-0.11570023784503339
43,-0.1177202051578999
20,-0.11925730543312772
72,-0.1223541324505617
5,-0.13443751059807393
91,-0.1362545848768877
2,-0.1502808530292331
16,-0.3707990584117393
